Timecode List:,00:00:02.503,00:00:03.504,00:00:05.339,00:00:08.717,00:00:09.718,00:00:11.887,00:00:13.138,00:00:14.515,00:00:15.349,00:00:16.016
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,1,00:00:00.000,0.000,60,00:00:02.503,2.503,60,00:00:02.503,2.503
2,61,00:00:02.503,2.503,84,00:00:03.504,3.504,24,00:00:01.001,1.001
3,85,00:00:03.504,3.504,128,00:00:05.339,5.339,44,00:00:01.835,1.835
4,129,00:00:05.339,5.339,209,00:00:08.717,8.717,81,00:00:03.378,3.378
5,210,00:00:08.717,8.717,233,00:00:09.718,9.718,24,00:00:01.001,1.001
6,234,00:00:09.718,9.718,285,00:00:11.887,11.887,52,00:00:02.169,2.169
7,286,00:00:11.887,11.887,315,00:00:13.138,13.138,30,00:00:01.251,1.251
8,316,00:00:13.138,13.138,348,00:00:14.515,14.515,33,00:00:01.376,1.376
9,349,00:00:14.515,14.515,368,00:00:15.349,15.349,20,00:00:00.834,0.834
10,369,00:00:15.349,15.349,384,00:00:16.016,16.016,16,00:00:00.667,0.667
11,385,00:00:16.016,16.016,430,00:00:17.935,17.935,46,00:00:01.919,1.919
